KOM KIN KOM_FIT KIN_FIT CHISQ
224 109.996 274.615897088578 110.088584631715 7689.29
226 70.0035 194.964256429368 74.9889119943331 7676.94
226 109.996 274.595527766355 110.104178650261 7689.31
228 70.0035 195.253149642135 74.9324872425235 7676.98
228 109.996 274.574927251928 110.118379974908 7689.30
230 70.0035 195.514360671729 74.8811124988677 7677.03
230 109.996 274.552508846476 110.132379542541 7689.31
232 70.0035 195.745240334798 74.8358027822807 7677.06
232 109.996 274.532134193031 110.145978365791 7689.31
234 70.0035 195.94749547174 74.7962410556601 7677.09
234 109.996 274.509550960783 110.1583183105 7689.32
236 70.0035 196.126453524492 74.7609213470493 7677.11
236 109.996 274.489305055604 110.16970271083 7689.31
238 70.0035 196.275533767801 74.7320454838908 7677.13
238 109.996 274.469569622483 110.180604656059 7689.31
240 70.0035 196.400591643228 74.7079079360834 7677.13
240 109.996 274.451363704321 110.190572038197 7689.31
242 70.0035 196.498714552869 74.6893953756292 7677.15
242 109.996 274.434377653064 110.199553253299 7689.32
244 70.0035 196.570972294369 74.6763187573907 7677.16
244 109.996 274.419200669249 110.207875307762 7689.31
246 70.0035 196.616012120028 74.6688491855334 7677.16
246 109.996 274.402524917078 110.215954464001 7689.32
248 70.0035 196.634274993132 74.6670452083972 7677.17
248 109.996 274.388076839664 110.222762440097 7689.31
250 70.0035 196.620753326995 74.672101874601 7677.18
250 109.996 274.37628297755 110.228406142606 7689.32
252 70.0035 196.577165002696 74.6833792340777 7677.17
252 109.996 274.366018981908 110.233487912649 7689.31
254 70.0035 196.498505408185 74.7022450320601 7677.16
254 109.996 274.355939301973 110.238095014408 7689.30
256 70.0035 196.390547735986 74.7267593308807 7677.14
256 109.996 274.348608818019 110.241788961507 7689.31
258 70.0035 196.241085278628 74.7601031945078 7677.13
258 109.996 274.342943388127 110.244908178574 7689.32
260 70.0035 196.049275594324 74.8020099777267 7677.10
260 109.996 274.336872220225 110.247553570261 7689.32
262 70.0035 195.815450425401 74.8520576311112 7677.07
262 109.996 274.332647133052 110.249188219664 7689.32
264 70.0035 195.529772551353 74.9123839791739 7677.03
264 109.996 274.331305051548 110.25044294655 7689.31
266 70.0035 195.185661068605 74.983941278074 7676.98
266 109.996 274.330739991156 110.250404950765 7689.32
268 70.0035 194.777419082909 75.0674433035765 7676.93
268 109.996 274.331858333076 110.249843018546 7689.32
270 70.0035 194.296515116078 75.1640032868985 7676.87
270 109.996 274.334947040487 110.248799085306 7689.31
272 70.0035 193.727292859886 75.2759658456348 7676.79
272 109.996 274.339163950318 110.246816227131 7689.31
274 70.0035 193.053738594735 75.4054001333987 7676.73
274 109.996 274.343128812353 110.244346844301 7689.32
276 70.0035 192.25753772289 75.5541843728476 7676.63
276 109.996 274.352912408072 110.240535240357 7689.31
278 70.0035 191.305359748408 75.726551508555 7676.53
278 109.996 274.364099943517 110.235957042116 7689.32
280 70.0035 190.162102098822 75.9251403907301 7676.40
280 109.996 274.376749639174 110.229816922723 7689.32
282 70.0035 188.767162766239 76.1563884915599 7676.26
282 109.996 274.393067251187 110.222555495917 7689.31
284 70.0035 187.036382278208 76.4265042665203 7676.09
284 109.996 274.410420613098 110.214076110232 7689.31
286 70.0035 184.824059095878 76.7468091809062 7675.88
286 109.996 274.431807199476 110.203624185676 7689.31
288 70.0035 181.907493049542 77.1299133502102 7675.62
288 109.996 274.456867030292 110.1913911997 7689.30
290 70.0035 177.856009470009 77.5976131867136 7675.29
290 109.996 274.48940169735 110.176731575161 7689.31
292 70.0035 171.78633840529 78.1830797990344 7674.81
292 109.996 274.525794582502 110.158492863782 7689.32
294 70.0035 161.659347975241 78.9313628039764 7674.08
294 109.996 274.567356195635 110.137645995705 7689.32
296 70.0035 141.62256332813 79.878781020181 7672.71
296 109.996 274.616161509751 110.112751441523 7689.31
298 70.0035 90.0486429453417 80.6938846641051 7669.37
298 109.996 274.676721492392 110.082210959031 7689.32
300 70.0035 -44.3627822205479 76.73609189709 7661.50
300 109.996 274.745557409831 110.046225399424 7689.33
302 70.0035 45.8346348051604 71.6252835853402 7667.28
302 109.996 274.833888702864 110.000850625278 7689.33
304 70.0035 118.949065368271 74.0820031482867 7669.31
304 109.996 274.949102321404 109.943144457983 7689.33
306 70.0035 145.811248794766 73.9170855835176 7665.13
306 109.996 275.114572472846 109.86315676016 7689.34
308 70.0035 230.055712926679 74.8368379441832 7660.85
308 109.996 275.391498707535 109.73504210824 7689.38
310 70.0035 382.340517884779 92.1683044965933 7697.93
310 109.996 275.902361294528 109.472149020555 7689.45
312 70.0035 -39.5239489431957 99.9409525401674 7750.12
312 109.996 276.843671975661 108.6536896092 7689.62
314 70.0035 325.351655516265 96.8137699877704 7707.89
314 109.996 352.399270678349 99.9344722687147 7688.74
316 70.0035 258.513192602059 75.6792050775635 7661.58
316 109.996 16.0886743488022 103.007874760167 7663.15
318 70.0035 301.257953397929 80.7786775747958 7668.14
318 109.996 644.797331148305 107.933458369524 7692.49
320 70.0035 -316.136938465498 78.0533983487251 7667.38
320 109.996 317.259031069985 91.6763622356389 7668.92
322 70.0035 636.343958356539 81.7812331558834 7716.63
322 109.996 408.996351868641 103.537276779518 7674.67
324 70.0035 111.405665420876 93.8939167535903 7807.39
