# 1distance 2Total_prob 3Px_prob 4HIlo 5HIup 6Vol 7Lum
0.886497 0.0180335 0.0202092 1 1 0.85041 1
0.88652 0.0180538 0.0202315 1 1 0.850425 1
0.886543 0.0180741 0.0202539 1 1 0.850441 1
0.886565 0.0180944 0.0202763 1 1 0.850456 1
0.886588 0.0181147 0.0202987 1 1 0.850472 1
0.886611 0.018135 0.0203211 1 1 0.850487 1
0.886634 0.0181554 0.0203436 1 1 0.850503 1
0.886657 0.0181758 0.0203661 1 1 0.850518 1
0.88668 0.0181962 0.0203886 1 1 0.850534 1
0.886703 0.0182166 0.0204111 1 1 0.850549 1
0.886726 0.0182371 0.0204336 1 1 0.850565 1
0.886749 0.0182575 0.0204562 1 1 0.85058 1
0.886772 0.018278 0.0204788 1 1 0.850596 1
0.886795 0.0182985 0.0205014 1 1 0.850611 1
0.886818 0.018319 0.020524 1 1 0.850627 1
0.886841 0.0183396 0.0205466 1 1 0.850642 1
0.886864 0.0183601 0.0205693 1 1 0.850658 1
0.886887 0.0183807 0.0205919 1 1 0.850673 1
0.88691 0.0184013 0.0206146 1 1 0.850689 1
0.886933 0.0184219 0.0206374 1 1 0.850704 1
0.886956 0.0184426 0.0206601 1 1 0.850719 1
0.886979 0.0184632 0.0206829 1 1 0.850735 1
0.887002 0.0184839 0.0207057 1 1 0.85075 1
0.887025 0.0185046 0.0207285 1 1 0.850766 1
0.887048 0.0185253 0.0207513 1 1 0.850781 1
0.887071 0.018546 0.0207741 1 1 0.850797 1
0.887094 0.0185668 0.020797 1 1 0.850812 1
0.887117 0.0185876 0.0208199 1 1 0.850828 1
0.887139 0.0186083 0.0208428 1 1 0.850843 1
0.887162 0.0186292 0.0208657 1 1 0.850859 1
0.887185 0.01865 0.0208887 1 1 0.850874 1
0.887208 0.0186708 0.0209116 1 1 0.85089 1
0.887231 0.0186917 0.0209346 1 1 0.850905 1
0.887254 0.0187126 0.0209576 1 1 0.85092 1
0.887277 0.0187335 0.0209807 1 1 0.850936 1
0.8873 0.0187544 0.0210037 1 1 0.850951 1
0.887323 0.0187754 0.0210268 1 1 0.850967 1
0.887346 0.0187963 0.0210499 1 1 0.850982 1
0.887369 0.0188173 0.021073 1 1 0.850998 1
0.887392 0.0188383 0.0210961 1 1 0.851013 1
0.887415 0.0188593 0.0211193 1 1 0.851029 1
0.887438 0.0188804 0.0211425 1 1 0.851044 1
0.887461 0.0189014 0.0211657 1 1 0.85106 1
0.887484 0.0189225 0.0211889 1 1 0.851075 1
0.887507 0.0189436 0.0212121 1 1 0.85109 1
0.88753 0.0189647 0.0212354 1 1 0.851106 1
0.887553 0.0189859 0.0212587 1 1 0.851121 1
0.887576 0.019007 0.021282 1 1 0.851137 1
0.887599 0.0190282 0.0213053 1 1 0.851152 1
0.887622 0.0190494 0.0213286 1 1 0.851168 1
0.887645 0.0190706 0.021352 1 1 0.851183 1
0.887668 0.0190918 0.0213754 1 1 0.851199 1
0.88769 0.0191131 0.0213988 1 1 0.851214 1
0.887713 0.0191344 0.0214222 1 1 0.851229 1
0.887736 0.0191557 0.0214457 1 1 0.851245 1
0.887759 0.019177 0.0214692 1 1 0.85126 1
0.887782 0.0191983 0.0214927 1 1 0.851276 1
0.887805 0.0192197 0.0215162 1 1 0.851291 1
0.887828 0.019241 0.0215397 1 1 0.851307 1
0.887851 0.0192624 0.0215633 1 1 0.851322 1
0.887874 0.0192838 0.0215868 1 1 0.851337 1
0.887897 0.0193053 0.0216104 1 1 0.851353 1
0.88792 0.0193267 0.0216341 1 1 0.851368 1
0.887943 0.0193482 0.0216577 1 1 0.851384 1
0.887966 0.0193697 0.0216814 1 1 0.851399 1
0.887989 0.0193912 0.0217051 1 1 0.851415 1
0.888012 0.0194127 0.0217288 1 1 0.85143 1
0.888035 0.0194343 0.0217525 1 1 0.851445 1
0.888058 0.0194558 0.0217762 1 1 0.851461 1
0.888081 0.0194774 0.0218 1 1 0.851476 1
0.888104 0.019499 0.0218238 1 1 0.851492 1
0.888127 0.0195207 0.0218476 1 1 0.851507 1
0.88815 0.0195423 0.0218714 1 1 0.851523 1
0.888173 0.019564 0.0218953 1 1 0.851538 1
0.888196 0.0195857 0.0219192 1 1 0.851553 1
0.888219 0.0196074 0.0219431 1 1 0.851569 1
0.888242 0.0196291 0.021967 1 1 0.851584 1
0.888264 0.0196509 0.0219909 1 1 0.8516 1
0.888287 0.0196726 0.0220149 1 1 0.851615 1
0.88831 0.0196944 0.0220389 1 1 0.851631 1
0.888333 0.0197162 0.0220629 1 1 0.851646 1
0.888356 0.0197381 0.0220869 1 1 0.851661 1
0.888379 0.0197599 0.022111 1 1 0.851677 1
0.888402 0.0197818 0.022135 1 1 0.851692 1
0.888425 0.0198037 0.0221591 1 1 0.851708 1
0.888448 0.0198256 0.0221832 1 1 0.851723 1
0.888471 0.0198475 0.0222074 1 1 0.851738 1
0.888494 0.0198694 0.0222315 1 1 0.851754 1
0.888517 0.0198914 0.0222557 1 1 0.851769 1
0.88854 0.0199134 0.0222799 1 1 0.851785 1
0.888563 0.0199354 0.0223041 1 1 0.8518 1
0.888586 0.0199574 0.0223283 1 1 0.851815 1
0.888609 0.0199795 0.0223526 1 1 0.851831 1
0.888632 0.0200016 0.0223769 1 1 0.851846 1
0.888655 0.0200236 0.0224012 1 1 0.851862 1
0.888678 0.0200457 0.0224255 1 1 0.851877 1
0.888701 0.0200679 0.0224499 1 1 0.851893 1
0.888724 0.02009 0.0224743 1 1 0.851908 1
0.888747 0.0201122 0.0224986 1 1 0.851923 1
0.88877 0.0201344 0.0225231 1 1 0.851939 1
0.888793 0.0201566 0.0225475 1 1 0.851954 1
0.888816 0.0201788 0.022572 1 1 0.85197 1
0.888838 0.0202011 0.0225964 1 1 0.851985 1
0.888861 0.0202233 0.0226209 1 1 0.852 1
0.888884 0.0202456 0.0226455 1 1 0.852016 1
0.888907 0.0202679 0.02267 1 1 0.852031 1
0.88893 0.0202903 0.0226946 1 1 0.852046 1
0.888953 0.0203126 0.0227192 1 1 0.852062 1
0.888976 0.020335 0.0227438 1 1 0.852077 1
0.888999 0.0203574 0.0227684 1 1 0.852093 1
0.889022 0.0203798 0.0227931 1 1 0.852108 1
0.889045 0.0204022 0.0228177 1 1 0.852123 1
0.889068 0.0204247 0.0228424 1 1 0.852139 1
0.889091 0.0204472 0.0228672 1 1 0.852154 1
0.889114 0.0204697 0.0228919 1 1 0.85217 1
0.889137 0.0204922 0.0229167 1 1 0.852185 1
0.88916 0.0205147 0.0229415 1 1 0.8522 1
0.889183 0.0205373 0.0229663 1 1 0.852216 1
0.889206 0.0205598 0.0229911 1 1 0.852231 1
0.889229 0.0205824 0.023016 1 1 0.852247 1
0.889252 0.020605 0.0230408 1 1 0.852262 1
0.889275 0.0206277 0.0230657 1 1 0.852277 1
0.889298 0.0206503 0.0230906 1 1 0.852293 1
0.889321 0.020673 0.0231156 1 1 0.852308 1
0.889344 0.0206957 0.0231405 1 1 0.852323 1
0.889367 0.0207184 0.0231655 1 1 0.852339 1
0.889389 0.0207412 0.0231905 1 1 0.852354 1
0.889412 0.0207639 0.0232156 1 1 0.85237 1
0.889435 0.0207867 0.0232406 1 1 0.852385 1
0.889458 0.0208095 0.0232657 1 1 0.8524 1
0.889481 0.0208323 0.0232908 1 1 0.852416 1
0.889504 0.0208552 0.0233159 1 1 0.852431 1
0.889527 0.020878 0.023341 1 1 0.852446 1
0.88955 0.0209009 0.0233662 1 1 0.852462 1
0.889573 0.0209238 0.0233914 1 1 0.852477 1
0.889596 0.0209468 0.0234166 1 1 0.852493 1
0.889619 0.0209697 0.0234418 1 1 0.852508 1
0.889642 0.0209927 0.0234671 1 1 0.852523 1
0.889665 0.0210157 0.0234923 1 1 0.852539 1
0.889688 0.0210387 0.0235176 1 1 0.852554 1
0.889711 0.0210617 0.023543 1 1 0.852569 1
0.889734 0.0210847 0.0235683 1 1 0.852585 1
